"Sl
No.",SIZE,WIDTH,LENGTH,MATL./GR ,QTY,Unit,"Heat No./ 
Batch No.",PATE NO,cost (USD),REMARKS
1,8,2500,12000,S 355 EH 36,1,NOS,43545,D4,2304,
2,8,2000,6000,S 275 JR,1,NOS,12K20925,2222,768,
3,28,1845,3000,SA 516 GR 65,1,NOS,358193,76642-02,,
4,8,2000,2330,SA 516 GR 70,1,NOS,11K23059,1741,328,
5,8,2000,6000,SA 516 GR 70,1,NOS,369631,,845,
6,8,2000,6000,S355J2+N,1,NOS,136780-2,21867,922,
7,8,2000,3400,S316L,1,NOS,71112,,870,
8,8,2000,5000,S304L,1,NOS,303090,,1280,
9,10,1220,2440,S304L,1,NOS,3878347,,476,
10,6,1350,2000,S304L,1,NOS,41078,,,
11,60,3050,6000,S355G8N,1,NOS,382872,85270,,
12,10,2000,5500,S304L,1,NOS,450084,,1760,
13,20,1220,1620,S304L,1,NOS,561268D,3063,632,
14,6,1220,2440,S316L,1,NOS,4403449/B,,,
15,8,2000,2660,S316L,1,NOS,135103,,681,
16,6,1580,2900,S316L,1,NOS,23375,,,
17,2,1219,2438,S304L,1,NOS,,,,
18,12,1220,1725,,1,NOS,,,202,
19,12,2000,12000,A36,1,NOS,"144050-1
","17033 
",2304,
20,12,2000,12000,A36,1,NOS,"144050-1
","17033 
",2304,
21,12,2000,12000,A36,1,NOS,"144050-1
","17033 
",2304,
22,12,2000,12000,A36,1,NOS,"144050-1
","17033 
",2304,
23,12,2000,12000,A36,1,NOS,"144050-1
","17033 
",2304,
24,12,2000,12000,A36,1,NOS,343979-1,17124,2304,
25,12,2000,12000,A36,1,NOS,343979-1,17124,2304,
26,12,2000,12000,A36,1,NOS,343979-1,17124,2304,
27,12,2000,12000,A36,1,NOS,343979-1,17124,2304,
28,12,2000,12000,A36,1,NOS,343979-1,17125,2304,
29,12,2000,12000,A36,1,NOS,343979-1,17125,2304,
30,12,2000,12000,A36,1,NOS,343979-1,17125,2304,
31,12,2000,12000,A36,1,NOS,343979-1,17125,2304,
32,12,2000,12000,A36,1,NOS,343979-1,17125,2304,
33,12,2000,12000,A36,1,NOS,343979-1,17125,2304,
34,12,2000,12000,A36,1,NOS,343979-1,17125,2304,
35,10,2500,12000,A36,1,NOS,244018-2,16974,2400,
36,10,2500,12000,A36,1,NOS,244018-2,16972,2400,
37,15,2000,6000,A36,1,NOS,243196,"13772
",,
38,16,2000,6000,A36,1,NOS,241541-2  ,"
 5679",1536,
39,16,2000,6000,A36,1,NOS,345738-3,30526,1536,
40,16,2000,6000,A36,1,NOS,145919-2,38339,1536,
41,16,2000,6000,A36,1,NOS,241541-2,"
 5679",1536,
42,16,2000,6000,A36,1,NOS,241541-2,"
 5679",1536,
43,16,2000,6000,A36,1,NOS,241541-2,"
 5679",1536,
44,16,2000,6000,A36,1,NOS,241541-2,"
 5679",1536,
45,16,2000,6000,A36,1,NOS,241541-2,"
 5679",1536,
46,16,2000,6000,A36,1,NOS,241541-2,"
 5679",1536,
47,16,2500,12000,A36,1,NOS,G7939,271220603,3840,
48,6,2000,6000,A36,1,NOS,13K16830,1021,,
49,40,2000,6000,S275JR+N/LRA,1,NOS,240351,4459,,
50,15,2000,12000,S355JR,1,NOS,G5222,2705604,,
51,25,2000,6000,SA36/S275 JR ,1,NOS,ZH6798,458381-04,,
52,25,2000,12000,SA36/GR A+ABS,1,NOS,G6403,2-7094-14-02,,
53,10,2000,6000,A36/S275 JR,1,NOS,156288-1,26098,960,
54,16,2000,6000,A 36,1,NOS,241541-2,5679,1536,
55,16,2000,6000,A 36,1,NOS,241541-2,5679,1536,
56,16,2000,6000,A 36,1,NOS,241541-2,5679,1536,
57,16,2000,6000,A 36,1,NOS,241541-2,5679,1536,
58,16,2000,6000,A 36,1,NOS,241541-2,5679,1536,
59,16,2000,6000,A 36,1,NOS,241541-2,5679,1536,
60,25,2000,5600,SA 516 GR 70,1,NOS,227288,,,
61,25,2000,5000,SA 516 GR 70,1,NOS,283744,883/03-02,,
62,6,2000,12000,A36,1,NOS,32303,30932,,
63,10,2500,9500,A36,1,NOS,244018,16972,1900,
