,"Sl
No.",SIZE,WIDTH,LENGTH,MATL./GR ,QTY,Unit,"Heat No./ 
Batch No.",PATE NO,cost (USD),REMARKS,Date,volume (m3),price_per_volume (USD/m3),weight (in kg),price_per_weight (USD/kg),raw_price,indexing_ratio
0,1,8,2500,12000,S 355 EH 36,1,NOS,43545,D4,2304.0,,2020-08-25,0.24000000000000002,9599.0,1920.0000000000002,1.2,280.0,8.228571428571428
1,2,8,2000,6000,S 275 JR,1,NOS,12K20925,2222,768.0,,2020-08-25,0.096,7999.0,768.0,1.0,301.0,2.5514950166112955
2,3,28,1845,3000,SA 516 GR 65,1,NOS,358193,76642-02,806.0,,2020-08-25,0.15498,5200.0,1239.8400000000001,0.6500838817911988,317.0,2.5425867507886437
3,4,8,2000,2330,SA 516 GR 70,1,NOS,11K23059,1741,328.0,,2020-08-25,0.03728,8798.0,298.24,1.099785407725322,251.5,1.3041749502982107
4,5,8,2000,6000,SA 516 GR 70,1,NOS,369631,,845.0,,2020-08-25,0.096,8802.0,768.0,1.1002604166666667,244.0,3.4631147540983607
5,6,8,2000,6000,S355J2+N,1,NOS,136780-2,21867,922.0,,2020-08-25,0.096,9604.0,768.0,1.2005208333333333,285.5,3.2294220665499123
6,7,8,2000,3400,S316L,1,NOS,71112,,870.0,,2020-08-25,0.054400000000000004,15992.0,435.20000000000005,1.999080882352941,261.5,3.326959847036329
7,8,8,2000,5000,S304L,1,NOS,303090,,1280.0,,2020-08-25,0.08,15999.0,640.0,2.0,349.0,3.667621776504298
8,9,10,1220,2440,S304L,1,NOS,3878347,,476.0,,2020-08-25,0.029768000000000003,15990.0,238.14400000000003,1.9987906476753559,277.0,1.7184115523465704
9,10,6,1350,2000,S304L,1,NOS,41078,,7716.0,,2020-08-25,0.016200000000000003,476296.0,129.60000000000002,59.537037037037024,375.0,20.576
10,11,60,3050,6000,S355G8N,1,NOS,382872,85270,113.0,,2020-08-25,1.098,102.0,8784.0,0.012864298724954462,292.5,0.38632478632478634
11,12,10,2000,5500,S304L,1,NOS,450084,,1760.0,,2020-08-25,0.11,15999.0,880.0,2.0,348.0,5.057471264367816
12,13,20,1220,1620,S304L,1,NOS,561268D,3063,632.0,,2020-08-25,0.039528,15988.0,316.224,1.9985832827362882,349.0,1.810888252148997
13,14,6,1220,2440,S316L,1,NOS,4403449/B,,6998.0,,2020-08-25,0.0178608,391807.0,142.8864,48.97596972140106,294.78,23.739738109776784
14,15,8,2000,2660,S316L,1,NOS,135103,,681.0,,2020-08-25,0.04256,16000.0,340.48,2.0001174812030076,241.0,2.8257261410788383
15,16,6,1580,2900,S316L,1,NOS,23375,,4546.0,,2020-08-25,0.027492000000000003,165357.0,219.936,20.66964935253892,347.0,13.100864553314121
16,17,2,1219,2438,S304L,1,NOS,,,21030.0,,2020-08-25,0.005943844,3538114.0,47.550752,442.26429899573407,270.0,77.88888888888889
17,18,12,1220,1725,,1,NOS,,,202.0,,2020-08-25,0.025254000000000002,7998.0,202.032,0.9998416092500197,341.0,0.592375366568915
18,19,12,2000,12000,A36,1,NOS,"144050-1
","17033 
",2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,352.0,6.545454545454546
19,20,12,2000,12000,A36,1,NOS,"144050-1
","17033 
",2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,187.0,12.320855614973262
20,21,12,2000,12000,A36,1,NOS,"144050-1
","17033 
",2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,289.0,7.972318339100346
21,22,12,2000,12000,A36,1,NOS,"144050-1
","17033 
",2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,276.0,8.347826086956522
22,23,12,2000,12000,A36,1,NOS,"144050-1
","17033 
",2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,220.0,10.472727272727273
23,24,12,2000,12000,A36,1,NOS,343979-1,17124,2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,345.0,6.678260869565217
24,25,12,2000,12000,A36,1,NOS,343979-1,17124,2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,282.11,8.167027046187657
25,26,12,2000,12000,A36,1,NOS,343979-1,17124,2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,347.0,6.639769452449568
26,27,12,2000,12000,A36,1,NOS,343979-1,17124,2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,326.0,7.067484662576687
27,28,12,2000,12000,A36,1,NOS,343979-1,17125,2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,292.0,7.890410958904109
28,29,12,2000,12000,A36,1,NOS,343979-1,17125,2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,269.0,8.565055762081784
29,30,12,2000,12000,A36,1,NOS,343979-1,17125,2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,331.0,6.960725075528701
30,31,12,2000,12000,A36,1,NOS,343979-1,17125,2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,261.5,8.810707456978967
31,32,12,2000,12000,A36,1,NOS,343979-1,17125,2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,303.5,7.591433278418451
32,33,12,2000,12000,A36,1,NOS,343979-1,17125,2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,264.0,8.727272727272727
33,34,12,2000,12000,A36,1,NOS,343979-1,17125,2304.0,,2020-08-25,0.28800000000000003,7999.0,2304.0000000000005,0.9999999999999998,244.0,9.442622950819672
34,35,10,2500,12000,A36,1,NOS,244018-2,16974,2400.0,,2020-08-25,0.30000000000000004,7999.0,2400.0000000000005,0.9999999999999998,347.0,6.916426512968299
35,36,10,2500,12000,A36,1,NOS,244018-2,16972,2400.0,,2020-08-25,0.30000000000000004,7999.0,2400.0000000000005,0.9999999999999998,248.0,9.67741935483871
36,37,15,2000,6000,A36,1,NOS,243196,"13772
",694.0,,2020-08-25,0.18000000000000002,3855.0,1440.0000000000002,0.48194444444444434,354.0,1.96045197740113
37,38,16,2000,6000,A36,1,NOS,241541-2  ,"
 5679",1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,300.0,5.12
38,39,16,2000,6000,A36,1,NOS,345738-3,30526,1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,234.0,6.564102564102564
39,40,16,2000,6000,A36,1,NOS,145919-2,38339,1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,302.0,5.086092715231788
40,41,16,2000,6000,A36,1,NOS,241541-2,"
 5679",1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,272.71,5.632356715925343
41,42,16,2000,6000,A36,1,NOS,241541-2,"
 5679",1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,287.0,5.351916376306621
42,43,16,2000,6000,A36,1,NOS,241541-2,"
 5679",1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,264.0,5.818181818181818
43,44,16,2000,6000,A36,1,NOS,241541-2,"
 5679",1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,380.0,4.042105263157895
44,45,16,2000,6000,A36,1,NOS,241541-2,"
 5679",1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,284.0,5.408450704225352
45,46,16,2000,6000,A36,1,NOS,241541-2,"
 5679",1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,327.0,4.697247706422019
46,47,16,2500,12000,A36,1,NOS,G7939,271220603,3840.0,,2020-08-25,0.48000000000000004,7999.0,3840.0000000000005,0.9999999999999999,360.0,10.666666666666666
47,48,6,2000,6000,A36,1,NOS,13K16830,1021,1736.0,,2020-08-25,0.07200000000000001,24111.0,576.0000000000001,3.0138888888888884,220.0,7.890909090909091
48,49,40,2000,6000,S275JR+N/LRA,1,NOS,240351,4459,260.0,,2020-08-25,0.48000000000000004,541.0,3840.0000000000005,0.06770833333333333,367.0,0.7084468664850136
49,50,15,2000,12000,S355JR,1,NOS,G5222,2705604,347.0,,2020-08-25,0.36000000000000004,963.0,2880.0000000000005,0.12048611111111109,317.0,1.0946372239747635
50,51,25,2000,6000,SA36/S275 JR ,1,NOS,ZH6798,458381-04,416.0,,2020-08-25,0.30000000000000004,1386.0,2400.0000000000005,0.1733333333333333,271.0,1.5350553505535056
51,52,25,2000,12000,SA36/GR A+ABS,1,NOS,G6403,2-7094-14-02,208.0,,2020-08-25,0.6000000000000001,346.0,4800.000000000001,0.04333333333333333,280.0,0.7428571428571429
52,53,10,2000,6000,A36/S275 JR,1,NOS,156288-1,26098,960.0,,2020-08-25,0.12000000000000001,7999.0,960.0000000000001,0.9999999999999999,338.0,2.8402366863905324
53,54,16,2000,6000,A 36,1,NOS,241541-2,5679,1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,311.0,4.938906752411576
54,55,16,2000,6000,A 36,1,NOS,241541-2,5679,1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,277.0,5.5451263537906135
55,56,16,2000,6000,A 36,1,NOS,241541-2,5679,1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,206.0,7.456310679611651
56,57,16,2000,6000,A 36,1,NOS,241541-2,5679,1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,299.0,5.137123745819398
57,58,16,2000,6000,A 36,1,NOS,241541-2,5679,1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,262.5,5.851428571428571
58,59,16,2000,6000,A 36,1,NOS,241541-2,5679,1536.0,,2020-08-25,0.192,7999.0,1536.0,1.0,320.0,4.8
